m_index,genre
0,Drama
1,Animation
1,Children's
1,Musical
2,Musical
2,Romance
3,Drama
4,Animation
4,Children's
4,Comedy
5,Action
5,Adventure
5,Comedy
5,Romance
6,Action
6,Adventure
6,Drama
7,Comedy
7,Drama
8,Animation
8,Children's
8,Musical
9,Adventure
9,Children's
9,Drama
9,Musical
10,Animation
10,Children's
10,Musical
11,Musical
12,Drama
13,Comedy
14,Musical
15,Comedy
16,Animation
16,Children's
17,Animation
17,Children's
18,Drama
19,Comedy
19,Fantasy
20,Comedy
21,Animation
22,Comedy
22,Sci-Fi
23,Drama
23,War
24,Romance
25,Animation
25,Children's
25,Musical
25,Romance
26,Children's
26,Drama
26,Fantasy
26,Sci-Fi
27,Drama
27,Romance
28,Drama
29,Animation
29,Comedy
29,Thriller
30,Animation
30,Children's
31,Drama
32,Adventure
32,Animation
32,Children's
32,Comedy
32,Musical
33,Animation
33,Children's
33,Comedy
33,Musical
34,Animation
34,Children's
35,Animation
35,Children's
35,Musical
36,Drama
37,Animation
37,Children's
37,Musical
38,Thriller
39,Drama
40,Animation
40,Children's
40,Comedy
41,Drama
42,Drama
43,Action
43,Crime
43,Romance
44,Action
44,Adventure
44,Fantasy
44,Sci-Fi
45,Children's
45,Comedy
45,Musical
46,Animation
46,Children's
46,Musical
47,Drama
48,Action
48,Drama
48,War
49,Children's
49,Drama
50,Animation
50,Children's
50,Comedy
51,Crime
51,Drama
51,Thriller
52,Drama
53,Drama
53,Romance
54,Drama
55,Comedy
56,Drama
56,War
57,Action
57,Crime
57,Drama
58,Action
58,Adventure
58,Mystery
59,Crime
59,Drama
60,Action
60,Adventure
60,Fantasy
60,Sci-Fi
61,Drama
62,Action
62,Adventure
62,Sci-Fi
62,Thriller
63,Drama
64,Action
64,Adventure
64,Romance
64,Sci-Fi
64,War
65,Action
65,Thriller
66,Action
66,Thriller
67,Crime
67,Drama
68,Action
68,Drama
69,Action
69,Thriller
70,Comedy
70,Drama
70,Western
71,Drama
71,War
72,Action
72,Adventure
72,Crime
73,Action
73,Crime
73,Mystery
73,Thriller
74,Action
74,Drama
75,Comedy
75,Drama
75,Romance
76,Comedy
76,Drama
76,War
77,Drama
77,Sci-Fi
78,Action
78,Thriller
79,Action
79,Drama
79,Thriller
80,Drama
81,Drama
82,Drama
82,Romance
83,Action
83,Comedy
83,Western
84,Adventure
84,Comedy
84,Drama
85,Drama
85,Thriller
86,Action
86,Adventure
86,Sci-Fi
86,Thriller
87,Drama
88,Comedy
88,Romance
89,Comedy
89,Drama
90,Action
90,Thriller
91,Action
91,Drama
91,Romance
91,Thriller
92,Action
92,Drama
92,War
93,Action
93,Crime
93,Thriller
94,Action
94,Thriller
95,Drama
95,Thriller
96,Drama
96,Sci-Fi
97,Action
97,Sci-Fi
97,Thriller
98,Action
98,Horror
98,Sci-Fi
99,Action
99,Drama
99,War
100,Drama
101,Crime
101,Drama
102,Drama
103,Drama
104,Comedy
104,Drama
105,Drama
106,Drama
107,Action
107,Sci-Fi
108,Drama
109,Drama
109,Romance
110,Action
110,Romance
110,War
111,Crime
111,Drama
112,Adventure
112,Drama
112,Romance
112,Sci-Fi
113,Action
113,Adventure
113,Sci-Fi
114,Drama
115,Drama
115,Romance
115,War
116,Comedy
116,Romance
117,Action
117,Thriller
118,Action
118,Drama
118,Romance
119,Action
119,Adventure
119,Sci-Fi
120,Action
120,Thriller
121,Crime
121,Drama
121,Film-Noir
121,Thriller
122,Action
122,Drama
122,War
123,Adventure
123,Drama
123,Western
124,Action
124,Adventure
124,Drama
124,Sci-Fi
124,War
125,Action
125,Adventure
125,Thriller
126,Action
126,Adventure
126,Romance
126,Thriller
127,Action
127,Adventure
128,Drama
128,Thriller
129,Comedy
130,Action
130,Thriller
131,Comedy
131,Horror
132,Action
132,Sci-Fi
132,Thriller
133,Action
133,Adventure
133,Sci-Fi
133,Thriller
134,Comedy
134,Romance
135,Crime
135,Drama
136,Action
136,Crime
136,Drama
136,Thriller
137,Action
137,Mystery
137,Romance
137,Thriller
138,Comedy
139,Action
139,Drama
140,Drama
141,Comedy
141,Drama
142,Drama
143,Drama
144,Action
144,Romance
144,Thriller
145,Action
145,Comedy
145,Drama
146,Action
146,Thriller
147,Drama
147,War
148,Action
148,Adventure
148,Comedy
148,Romance
149,Drama
150,Action
150,Adventure
150,Thriller
151,Action
151,Thriller
152,Drama
